,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor
,acc_x,acc_x,acc_y,acc_y,acc_z,acc_z,gyr_x,gyr_x,gyr_y,gyr_y,gyr_z,gyr_z
120,-6.299780581,-6.467934224,-0.398705428,0.417115285,7.163840545,7.189605034,-0.011241022,-0.185878464,-0.020652467,0.118401918,0.069113309,-0.115358617
121,-6.295040706,-6.470238359,-0.410671387,0.40509674,7.187502118,7.182578364,-0.011474374,-0.124725266,0.039070643,0.237720988,0.069451347,-0.051712562
122,-6.30500096,-6.462974353,-0.389224324,0.388379515,7.206048001,7.180240308,-0.011941079,-0.12575827,0.158516865,0.297676613,0.070127425,-0.050115709
123,-6.292743823,-6.47727292,-0.40585133,0.383467614,7.192189238,7.173179536,-0.073015189,-0.127814788,0.158139102,0.357915774,0.069845957,-0.109523483
124,-6.28088722,-6.47732408,-0.400915381,0.402558722,7.196967837,7.166235435,-0.011241022,-0.12885728,-0.020652467,0.477543488,0.069113309,-0.045325149
125,-6.292952447,-6.479658744,-0.386659278,0.402470254,7.189680364,7.154577507,0.047982904,0.058753304,0.039918645,0.476334021,0.008686186,0.014022642
126,-6.242607636,-6.455726008,-0.410058616,0.393085696,7.206819365,7.161645509,0.051683272,-0.002409382,-0.080468053,0.41668704,0.130103367,0.012978067
127,-6.311972302,-6.486939276,-0.406101594,0.404940025,7.206116863,7.173189016,0.113674156,-0.001376378,0.098608805,0.356731415,0.192445581,0.011381214
128,-6.278861477,-6.482055334,-0.379317292,0.390571079,7.210924542,7.166187262,0.052833399,0.001722632,0.03850793,0.17686454,0.191826075,0.006590654
129,-6.271374023,-6.486906261,-0.398403947,0.400141135,7.199391442,7.170848323,0.050749863,0.000708605,0.15842439,0.117475987,0.131455523,-0.117015454
130,-6.285436643,-6.484538582,-0.408144554,0.395430714,7.178166903,7.180165558,-0.071165005,0.000708605,0.097945753,0.117475987,0.130554548,-0.117015454
131,-6.292913921,-6.470127759,-0.391459601,0.39068515,7.192071406,7.173226732,-0.073015189,-0.122668747,0.158139102,0.177481827,0.069845957,0.007695212
132,-6.285681614,-6.460616574,-0.388958661,0.38843814,7.180361557,7.18723913,-0.073015189,-0.122659259,0.158139102,0.117809738,0.069845957,-0.054906269
133,-6.297687963,-6.462985082,-0.384306283,0.390771499,7.18020793,7.180245878,-0.073015189,0.00173212,0.158139102,0.117192451,0.069845957,-0.056010827
134,-6.299933965,-6.460645449,-0.401134847,0.405122343,7.187377823,7.177959906,-0.010557599,0.059795796,0.217769738,0.356706307,0.131512094,-0.050175692
135,-6.300224739,-6.446279197,-0.401184124,0.40519059,7.225006046,7.175691325,-0.071165005,-0.002399893,0.097945753,0.357014951,0.130554548,-0.049623413
136,-6.293035317,-6.470206172,-0.384269896,0.397920788,7.196716017,7.182561654,-0.069548173,-0.005498904,0.097475515,0.536881826,0.191601178,-0.044832853
137,-6.278347544,-6.460473787,-0.410474735,0.366850599,7.192365734,7.177870789,0.050983215,0.118873499,0.09870128,0.655608716,0.131117484,0.07926555
138,-6.273921696,-6.491467475,-0.391249374,0.378421422,7.208716712,7.145152785,0.049599736,0.182092704,0.039448407,0.655016537,0.069732815,0.139717898
139,-6.278780787,-6.486923579,-0.376900192,0.416810417,7.19679432,7.159239546,0.051449919,0.185191714,-0.020744942,0.475149662,0.130441406,0.134927338
